ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2020-04-30 00:40:45.132153088,Ch8JwV2c1uEUNA00Ta,192.168.0.4,8443,10.0.1.6,57095,tcp,,0 days 00:00:00.007248,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.140567040,Cd7xa24XKp8QJ8wCib,192.168.0.4,8443,10.0.1.6,57096,tcp,,0 days 00:00:00.006876,1921,0,SH,,,0,HADF,6,2173,0,0,
2020-04-30 00:40:45.165572864,CqB4np4DDioqgU8tw4,192.168.0.4,8443,10.0.1.6,57097,tcp,,0 days 00:00:00.007801,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.174796032,CAOsSe31RSCI2KWGLl,192.168.0.4,8443,10.0.1.6,57098,tcp,,0 days 00:00:00.009703,1952,0,SH,,,0,HADF,6,2204,0,0,
2020-04-30 00:40:45.186569984,CcwGIy2oFXgdXS6W05,192.168.0.4,8443,10.0.1.6,57099,tcp,,0 days 00:00:00.009045,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.196760832,C5xF9J3S6E4jah9e6h,192.168.0.4,8443,10.0.1.6,57100,tcp,,0 days 00:00:00.008465,1937,0,SH,,,0,HADF,6,2189,0,0,
2020-04-30 00:40:45.207173120,CUiCRW1pYEdjTOfUZg,192.168.0.4,8443,10.0.1.6,57101,tcp,,0 days 00:00:00.008035,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.216711168,C3l2m4GiSZGtQ12xg,192.168.0.4,8443,10.0.1.6,57102,tcp,,0 days 00:00:00.052405,99201,0,SH,,,0,HADCF,7,4487,0,0,
2020-04-30 00:40:45.331252992,CpP7Xi3rLLFiD6piS8,192.168.0.4,8443,10.0.1.6,57103,tcp,,0 days 00:00:00.008960,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.341597952,CZAA1x1G4NESIQZt7d,192.168.0.4,8443,10.0.1.6,57104,tcp,,0 days 00:00:00.010431,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.354088960,Cu52S51MQCPtOfMVn3,192.168.0.4,8443,10.0.1.6,57105,tcp,,0 days 00:00:00.008378999,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.465536000,CqJz4n1mEdDN3sxlXj,192.168.0.4,8443,10.0.1.6,57106,tcp,,0 days 00:00:00.048332,1921,0,SH,,,0,HADF,6,2173,0,0,
2020-04-30 00:40:45.516045056,CknAAA31dZirQlJpIh,192.168.0.4,8443,10.0.1.6,57107,tcp,,0 days 00:00:00.009383,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.527313920,CAmH6g3tSibHN0xb4,192.168.0.4,8443,10.0.1.6,57108,tcp,,0 days 00:00:00.006311,1931,0,SH,,,0,HADF,6,2183,0,0,
2020-04-30 00:40:45.535224832,ChZPCA6B5g7rPIqYf,192.168.0.4,8443,10.0.1.6,57109,tcp,,0 days 00:00:00.006495,1823,0,SH,,,0,HADF,6,2075,0,0,
